Date,AAPL,ABBV,BAC,CAT,COP,COST,CVX,EOG,GE,GOOGL,GS,HON,JNJ,JPM,KO,LLY,MA,MCD,MRK,MSFT,NVDA,ORCL,PEP,PFE,RTX,SLB,UNP,V,WMT,XOM
2015-08-06,25.799663543701172,44.53581619262695,14.065932273864746,59.703433990478516,35.951171875,122.22187042236328,53.17265319824219,56.1697998046875,108.15206146240234,33.21299362182617,164.4047088623047,79.2967758178711,73.1769790649414,50.97843933105469,29.722637176513672,68.57096862792969,90.88990020751953,75.66088104248047,39.653282165527344,40.103424072265625,0.49425622820854187,33.346744537353516,70.89093017578125,20.80870246887207,48.146026611328125,61.390567779541016,73.2403793334961,68.08411407470703,19.975444793701172,48.834129333496094
2015-08-07,25.887054443359375,44.13700866699219,14.018538475036621,59.572410583496094,34.92153549194336,121.23699188232422,52.273841857910156,53.33528137207031,107.15487670898438,32.927520751953125,163.08203125,79.04942321777344,73.01448822021484,50.82903289794922,29.616270065307617,68.21444702148438,91.46049499511719,75.33338928222656,39.34109878540039,40.20665740966797,0.5554038882255554,33.5502815246582,70.85514831542969,20.820533752441406,47.810401916503906,60.406436920166016,72.22532653808594,68.66705322265625,19.552827835083008,48.046180725097656
2015-08-10,26.828245162963867,44.516517639160156,14.247576713562012,61.78450393676758,35.89396286010742,122.06331634521484,53.60955047607422,55.15022277832031,109.0245590209961,32.86557388305664,165.11012268066406,80.4286117553711,73.7088394165039,51.45647048950195,29.55246353149414,69.24259185791016,91.75052642822266,75.69131469726562,39.63970947265625,40.71418380737305,0.574739396572113,33.830162048339844,70.84800720214844,20.921113967895508,48.42328643798828,62.01483154296875,72.9905014038086,68.8243179321289,19.615947723388672,49.24686813354492
2015-08-11,25.432159423828125,43.89904022216797,14.050129890441895,60.15047073364258,36.03696823120117,121.76284790039062,53.540897369384766,55.895023345947266,106.8224868774414,34.211639404296875,161.68722534179688,78.9819107055664,73.13269805908203,50.963497161865234,29.4106388092041,69.26747131347656,90.92729949951172,75.2496109008789,39.19858169555664,39.92278289794922,0.5718386769294739,33.21953201293945,70.51195526123047,20.779117584228516,47.966060638427734,61.956085205078125,72.07695770263672,67.88054656982422,19.739442825317383,48.912315368652344
2015-08-12,25.824316024780273,44.22064208984375,13.836894035339355,60.82874298095703,36.852088928222656,122.59976959228516,54.17131423950195,57.7967529296875,107.44571685791016,34.269630432128906,161.2302703857422,79.10936737060547,72.91108703613281,50.224029541015625,29.254669189453125,69.55108642578125,90.77762603759766,74.84599304199219,39.53791046142578,40.20665740966797,0.5732890963554382,33.31282043457031,70.34037017822266,20.927034378051758,48.31857681274414,62.301239013671875,72.47518157958984,68.15859985351562,19.91781234741211,49.7328987121582
2015-08-13,25.804149627685547,44.08556365966797,13.915870666503906,59.9346809387207,35.82246017456055,121.57872009277344,53.584598541259766,57.61597442626953,107.15487670898438,34.023799896240234,160.91763305664062,79.09437561035156,72.74119567871094,50.4555778503418,29.141218185424805,69.25912475585938,90.95536804199219,75.67608642578125,40.02653503417969,40.198062896728516,0.568455159664154,33.33826446533203,70.63350677490234,20.921113967895508,48.16678237915039,61.75778579711914,72.38147735595703,68.52008819580078,19.78883934020996,49.64452362060547
2015-08-14,25.985660552978516,44.156341552734375,13.979052543640137,60.49730682373047,35.58650588989258,122.26496887207031,53.67198181152344,57.7967529296875,108.35977935791016,34.16554641723633,161.94374084472656,79.51415252685547,72.9849624633789,50.70952606201172,29.247581481933594,69.99315643310547,91.57276153564453,75.59992218017578,40.162261962890625,40.430320739746094,0.5689384341239929,33.423072814941406,70.94811248779297,20.897445678710938,48.323448181152344,61.588844299316406,72.41272735595703,68.7888412475586,19.862932205200195,49.46147918701172
2015-08-17,26.25457191467285,44.61944580078125,14.03433609008789,60.535858154296875,35.436344146728516,122.26496887207031,52.603851318359375,57.85458755493164,108.89994049072266,34.40046310424805,162.3846435546875,79.66404724121094,73.76787567138672,50.84397888183594,29.318466186523438,69.62615966796875,91.54472351074219,76.65850830078125,40.52195358276367,40.70558166503906,0.5653131604194641,33.685977935791016,71.3985595703125,21.003938674926758,48.6465950012207,61.3244514465332,72.41272735595703,68.96492004394531,19.733951568603516,49.72027587890625
2015-08-18,26.106666564941406,44.29139709472656,13.971152305603027,60.751686096191406,35.40058135986328,121.88002014160156,52.736576080322266,58.14384460449219,108.31824493408203,34.133827209472656,161.2703094482422,80.00148010253906,73.39856719970703,50.948551177978516,29.28302574157715,69.55940246582031,91.30149841308594,76.73466491699219,40.488014221191406,40.93071746826172,0.560167670249939,33.779273986816406,71.33418273925781,21.015779495239258,48.67107391357422,61.067420959472656,72.44393920898438,69.02054595947266,19.067102432250977,49.171138763427734
2015-08-19,25.772777557373047,44.11773681640625,13.789508819580078,59.66489791870117,34.09210968017578,121.49504852294922,51.13751983642578,55.72868728637695,106.90557098388672,34.39699172973633,161.08596801757812,79.12019348144531,73.35429382324219,50.49290466308594,28.914335250854492,69.87638854980469,90.36601257324219,76.99359130859375,40.488014221191406,40.359222412109375,0.5579836368560791,33.524845123291016,70.77651977539062,20.86786651611328,48.083560943603516,59.24604415893555,71.95985412597656,68.95567321777344,18.817365646362305,48.117008209228516
2015-08-20,25.243915557861328,43.40377426147461,13.205068588256836,58.89413070678711,33.60590744018555,120.27312469482422,50.08205032348633,55.48286056518555,104.66191864013672,33.675392150878906,157.7191619873047,77.31245422363281,72.97017669677734,49.25300598144531,28.751256942749023,72.845947265625,88.45767211914062,75.97310638427734,38.64888381958008,39.53663635253906,0.5378385186195374,32.76156997680664,70.05435943603516,20.441871643066406,46.91341018676758,58.34269332885742,69.74232482910156,68.53858947753906,18.778949737548828,47.069190979003906
